Delivery Platform,Restaurant Name,Rating,Rating Count,Restaurant Tag,Price Tag,Category Name,Menu Item Name,Menu Item Description,Menu Item Price
UberEats,Ege Mediterranean,4.9,23,Pizza,,Popular Items,BYO BOWL,,$16.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Popular Items,Casablanca,,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Popular Items,Bianca,,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Popular Items,Marinara,,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Popular Items,Barcelona,,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean BYO,BYO BOWL,,$16.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Style Wrap,Gyro (Doner) Wrap or Pita,"Flame broiled gyro, lettuce, onion, tomato, Persian pickles, fries, and EGE gyro sauce.",$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Style Wrap,Chicken Gyro Wrap or Pita,"Flame broiled chicken, lettuce, onion, tomato, Persian pickles, fries, and EGE Chicken sauce.",$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Style Wrap,Falafel Wrap or Pita,"Fried falafel, lettuce, onion, tomato, Persian pickles, fries, spread of hummus",$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Bowls,Hummus Bowl,,$15.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Bowls,Babaghonush Bowl,,$15.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Sides & Dips,Hummus,"Chickpeas, tahini, garlic, lemon juice.",$8.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Sides & Dips,Babaghanoush,"Eggplant, tahini, garlic, lemon juice.",$8.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Sides & Dips,RoastedRedPepperDip,"RoastedRedPepper,Walnut,PomegranateSauce,BreadCrumbs,EVOO",$8.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Sides & Dips,TurkishCHobanSalad,"DicedTomato,Cucumber,GreenPepper,Parsley,EVOO,Salt",$8.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Sides & Dips,Chick PeasSalad,"ChickPeas,DicedRedPepper,Onion,Cucumber,Cilantro,EVOO.",$8.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Sides & Dips,MoroccanCouscous,"SeasonedCouscous ,DicedRedPepper,Cilantro.",$8.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Sides & Dips,SweetFetaCheeseSpread,"Feta,Dates",$8.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Sides & Dips,SunDriedTomato&FetaDip,,$8.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Sides & Dips,Spicy Hummus Spread with Cilantro,"ChickPeas,Tahini,LemonJuice,Garlic,Cilantro,Jalapeno",$8.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Sides & Dips,SpicyFetaCheeseSpread,"Feta,HotPepper,FreshDill",$8.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Sides & Dips,Tangy Minty Yogurt,"Yogurt, cucumber, fresh garlic",$8.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Sides & Dips,Turkish-BeetDips,"RoastedBeets,StrainedYogurt,Garlic",$8.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Sides & Dips,Grape Leaves,Rice and herbs.,$8.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Sides & Dips,Falafel,,$8.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Kebobs,Chicken (Tawook) Shish Kebob,,$21.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Kebobs,Lamb Meatball Kebob,,$21.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Kebobs,Gyro Kebob,,$19.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Kebobs,Falafel Kebob,,$19.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Kebobs,Shrimp Kebob,,$21.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,9'' BYO Plain Pizza,4 cuts.,$9.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,"9"" BYO One topping",,$10.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,"9"" BYO Two topping",,$11.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,"9"" BYO up to Six Topping",,$14.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,12'' BYO Plain Pizza,6 cuts.,$11.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,"12"" BYO One Topping",,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,"12"" BYO Two Topping",,$14.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,"12"" BYO up to Six Topping",,$19.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,12'' BYO Gluten Free Plain,6 cuts.,$14.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,"12"" BYO Gluten Free One Toppnig",,$15.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,"12"" BYO Gluten Free Two Topping",,$17.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,"12"" BYO Gluten Free up-to Six Topping",,$21.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,14'' BYO Cauli Plain Pizza-8Cuts,6 cuts.,$15.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,"14"" BYO Cauli One Topping-8Cuts",,$17.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,"14"" BYO Cauli Two Topping-8Cuts",,$18.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,"14"" BYO Cauli up-to Six Topping-8Cuts",,$25.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Pizza,16'' Extra Large Traditional Pizza,12 cuts.,$16.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Pizza,Bianca,,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Pizza,Marinara,,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Pizza,EGE Favorite,,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Pizza,Casablanca,,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Pizza,Genovese,,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Pizza,Aegean Breeze,,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Pizza,Akdeniz Mediterranean,,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Pizza,Mangal Soujouck,,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Pizza,Barcelona,"Salsa, flamenco, bull chases and tomato fights! Spicy chipotle sauce, chicken, mushrooms, green pepper, fontinella, mozzarella, and drizzled with creamy ranch.",$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Mediterranean Pizza,Spanako Feta,"It's all Greek to me! Spinach, fresh drill, onions, feta cheese, and blend of cheese.",$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Pittsburgh Favorites,Butcher's Choice,,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Pittsburgh Favorites,Fiery Bull,,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Pittsburgh Favorites,Veggie Melanges,,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,Pittsburgh Favorites,Ranchero,,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Vegan Pizza,9'' BYO Plain Vegan Pizza,4 cuts.,$10.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Vegan Pizza,"9"" BYO One Topping Vegan Pizza",6 cuts.,$11.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Vegan Pizza,"9"" BYO Two Topping Vegan Pizza",8 cuts.,$12.99
UberEats,Ege Mediterranean,4.9,23,Pizza,,BYO Vegan Pizza,"9"" BYO upto Six Topping Vegan Pizza",12 cuts.,$14.99
